UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
X-HTS 14,"Bakker, M., Kochukhova, O., & von Hofsten, C. (2011). Development of social perception: A conversation study of 6-, 12-and 36-month-old children. Infant Behavior & Development, 34(2), 363–370. http://doi.org/10.1016/j.infbeh.2011.03.001",database_search,yes,exclude,,,,,,,"Development of social perception: A conversation study of 6-, 12-and 36-month-old children",,"Bakker, Marta; Kochukhova, Olga; von Hofsten, Claes",Infant Behavior & Development,,,,10.1016/j.infbeh.2011.03.001,,,,2011,
X-HTS 15,"Balas, B. (2010). Using innate visual biases to guide face learning in natural scenes: a computational investigation. Developmental Science, 13(3), 469–478. http://doi.org/10.1111/j.1467-7687.2009.00901.x",database_search,yes,exclude,,,,,,,Developing race categories in infancy via Bayesian face recognition,,"Balas, Benjamin",Visual Cognition,,,,10.1080/13506285.2013.800622,,,,2013,
X-HTS 16,"Balas, B. (2013). Developing race categories in infancy via Bayesian face recognition. Visual Cognition, 21(9-10), 1138–1164. http://doi.org/10.1080/13506285.2013.800622",database_search,yes,exclude,,,,,,,Using innate visual biases to guide face learning in natural scenes: a computational investigation,,"Balas, Benjamin",Developmental Science,,,,10.1111/j.1467-7687.2009.00901.x,,,,2010,
X-HTS 17,"Balas, B., & Woods, R. (2014). Infant Preference for Natural Texture Statistics is Modulated by Contrast Polarity. Infancy, 19(3), 262–280. http://doi.org/10.1111/infa.12050",database_search,yes,exclude,,,,,,,Infant Preference for Natural Texture Statistics is Modulated by Contrast Polarity,,"Balas, Benjamin; Woods, Rebecca",Infancy,,,,10.1111/infa.12050,,,,2014,
X-HTS 18,"Bar-Haim, Y., Shulman, C., Lamy, D., & Reuveni, A. (2006). Attention to eyes and mouth in high-functioning children with autism. Journal of Autism and Developmental Disorders, 36(1), 131–137. http://doi.org/10.1007/s10803-005-0046-1",database_search,no,exclude,,,,,,,Attention to eyes and mouth in high-functioning children with autism,,"Bar-Haim, Y.; Shulman, C.; Lamy, D.; Reuveni, A.",Journal of Autism and Developmental Disorders,,,,10.1007/s10803-005-0046-1,,,,2006,
X-HTS 19,"Barrett, L. (2011). Beyond the Brain: How Body and Environment Shape Animal and Human Minds.",database_search,yes,exclude,,,,,,,Beyond the Brain: How Body and Environment Shape Animal and Human Minds,,"Barrett, L.",,,,,,,,,2011,
X-HTS 20,"Bartrip, J., Morton, J., & de Schonen, S. (2001). Responses to mother’s face in 3-week to 5-month-old infants. British Journal of Developmental Psychology, 19, 219–232. http://doi.org/10.1348/026151001166047",database_search,yes,exclude,,,,,,,Responses to mother's face in 3-week to 5-month-old infants,,"Bartrip, J.; Morton, J.; de Schonen, S.",British Journal of Developmental Psychology,,,,10.1348/026151001166047,,,,2001,
X-HTS 21,"Batki, A., Baron-Cohen, S., Wheelwright, S., Connellan, J., & Ahluwalia, J. (2000). Is there an innate gaze module? Evidence from human neonates. Infant Behavior & Development, 23(2), 223–229. http://doi.org/10.1016/S0163-6383(01)00037-6",database_search,yes,exclude,,,,,,,Is there an innate gaze module? Evidence from human neonates,,"Batki, A.; Baron-Cohen, S.; Wheelwright, S.; Connellan, J.; Ahluwalia, J.",Infant Behavior & Development,,,,10.1016/S0163-6383(01)00037-6,,,,2000,
X-HTS 22,"Batuev, A. S., & Sokolova, L. V. (2000). The doctrine of dominant and early human ontogenesis. Journal of Evolutionary Biochemistry and Physiology, 36(5), 621–635.",database_search,yes,exclude,,,,,,,The doctrine of dominant and early human ontogenesis,,"Batuev, A. S.; Sokolova, L. V.",Journal of Evolutionary Biochemistry and Physiology,,,,,,,,2000,
X-HTS 23,"Bednar, J. A., & Miikkulainen, R. (2000). Self-organization of innate face preferences: Could genetics be expressed through learning?",database_search,yes,exclude,,,,,,,Learning innate face preferences,,"Bednar, J. A.; Miikkulainen, R.",Neural Computation,,,,10.1162/089976603321891792,,,,2003,
X-HTS 24,"Bednar, J. A., & Miikkulainen, R. (2003). Learning innate face preferences. Neural Computation, 15(7), 1525–1557. http://doi.org/10.1162/089976603321891792",database_search,no,exclude,,,,,,,Self-organization of innate face preferences: Could genetics be expressed through learning?,,"Bednar, J. A.; Miikkulainen, R.",,,,,,,,,2000,
X-HTS 25,"Ben Shalom, D. (2003). Understanding SLI: A neuropsychological perspective. (Y. Levy & J. Schaeffer, Eds.).",database_search,yes,exclude,,,,,,,Understanding SLI: A neuropsychological perspective,,"Ben Shalom, D.",,,,,,,,,2003,
X-HTS 26,"Bentin, S., Allison, T., Puce, A., Perez, E., & McCarthy, G. (1996). Electrophysiological studies of face perception in humans. Journal of Cognitive Neuroscience, 8(6), 551–565. http://doi.org/10.1162/jocn.1996.8.6.551",database_search,no,exclude,,,,,,,Electrophysiological studies of face perception in humans,,"Bentin, S.; Allison, T.; Puce, A.; Perez, E.; McCarthy, G.",Journal of Cognitive Neuroscience,,,,10.1162/jocn.1996.8.6.551,,,,1996,
X-HTS 27,"Bergmann, U., & von der Malsburg, C. (2011). Self-Organization of Topographic Bilinear Networks for Invariant Recognition. Neural Computation, 23(11), 2770–2797.",database_search,no,exclude,,,,,,,Self-Organization of Topographic Bilinear Networks for Invariant Recognition,,"Bergmann, Urs; von der Malsburg, Christoph",Neural Computation,,,,,,,,2011,
X-HTS 28,"Bicego, M., Grosso, E., Lagorio, A., Brelstaff, G., Brodo, L., & Tistarelli, M. (2008). Distinctiveness of Faces: A Computational Approach. Acm Transactions on Applied Perception, 5(2), 11. http://doi.org/10.1145/1279920.1279925",database_search,no,exclude,,,,,,,On finding differences between faces,,"Bicego, M.; Grosso, E.; Tistarelli, M.","Audio and Video Based Biometric Person Authentication, Proceedings",,,,,,,,2005,
X-HTS 29,"Bicego, M., Grosso, E., & Tistarelli, M. (2005). On finding differences between faces. In T. Kanade, A. Jain, & N. K. Ratha (Eds.), Audio and Video Based Biometric Person Authentication, Proceedings (Vol. 3546, pp. 329–338).",database_search,yes,exclude,,,,,,,Distinctiveness of Faces: A Computational Approach,,"Bicego, Manuele; Grosso, Enrico; Lagorio, Andrea; Brelstaff, Gavin; Brodo, Linda; Tistarelli, Massimo",Acm Transactions on Applied Perception,,,,10.1145/1279920.1279925,,,,2008,
X-HTS 30,"Blass, E. M., & Camp, C. A. (2001). The ontogeny of face recognition: Eye contact and sweet taste induce face preference in 9-and 12-week-old human infants. Developmental Psychology, 37(6), 762–774. http://doi.org/10.1037//0012-1649.37.6.762",database_search,yes,exclude,,,,,,,The ontogeny of face identity I. Eight- to 21-week-old infants use internal and external face features in identity,,"Blass, E. M.; Camp, C. A.",Cognition,,,,10.1016/j.cognition.2003.10.004,,,,2004,
X-HTS 31,"Blass, E. M., & Camp, C. A. (2004). The ontogeny of face identity I. Eight- to 21-week-old infants use internal and external face features in identity. Cognition, 92(3), 305–327. http://doi.org/10.1016/j.cognition.2003.10.004",database_search,yes,exclude,,,,,,,The ontogeny of face recognition: Eye contact and sweet taste induce face preference in 9-and 12-week-old human infants,,"Blass, E. M.; Camp, C. A.",Developmental Psychology,,,,10.1037//0012-1649.37.6.762,,,,2001,
X-HTS 32,"Bodapati, A. S., & Herbener, E. S. (2014). The impact of social content and negative symptoms on affective ratings in schizophrenia. Psychiatry Research, 218(1-2), 25–30. http://doi.org/10.1016/j.psychres.2014.03.039",database_search,no,exclude,,,,,,,The impact of social content and negative symptoms on affective ratings in schizophrenia,,"Bodapati, Anjuli S.; Herbener, Ellen S.",Psychiatry Research,,,,10.1016/j.psychres.2014.03.039,,,,2014,
X-HTS 33,"Boucher, J., Lewis, V., & Collis, G. (1998). Familiar face and voice matching and recognition in children with autism. Journal of Child Psychology and Psychiatry and Allied Disciplines, 39(2), 171–181. http://doi.org/10.1017/S0021963097001820",database_search,no,exclude,,,,,,,Familiar face and voice matching and recognition in children with autism,,"Boucher, J.; Lewis, V.; Collis, G.",Journal of Child Psychology and Psychiatry and Allied Disciplines,,,,10.1017/S0021963097001820,,,,1998,
X-HTS 34,"Bouvrie, J. V., & Sinha, P. (2007). Visual object concept discovery: Observations in congenitally blind children, and a computational approach. Neurocomputing, 70(13-15), 2218–2233. http://doi.org/10.1016/j.neucom.2006.01.035",database_search,no,exclude,,,,,,,"Visual object concept discovery: Observations in congenitally blind children, and a computational approach",,"Bouvrie, Jake V.; Sinha, Pawan",Neurocomputing,,,,10.1016/j.neucom.2006.01.035,,,,2007,
X-HTS 35,"Bowman, R., McCulloch, D. L., Law, E., Mostyn, K., & Dutton, G. N. (2010). The “mirror test” for estimating visual acuity in infants. British Journal of Ophthalmology, 94(7), 882–885. http://doi.org/10.1136/bjo.2009.162750",database_search,no,exclude,,,,,,,The 'mirror test' for estimating visual acuity in infants,,"Bowman, Richard; McCulloch, Daphne L.; Law, Elizabeth; Mostyn, Karen; Dutton, Gordon N.",British Journal of Ophthalmology,,,,10.1136/bjo.2009.162750,,,,2010,
X-HTS 36,"Braddick, O., & Atkinson, J. (2011). Development of human visual function. Vision Research, 51(13), 1588–1609. http://doi.org/10.1016/j.visres.2011.02.018",database_search,yes,exclude,,,,,,,Development of human visual function,,"Braddick, Oliver; Atkinson, Janette",Vision Research,,,,10.1016/j.visres.2011.02.018,,,,2011,
X-HTS 37,"Bradshaw, J., Shic, F., & Chawarska, K. (2011). Brief Report: Face-Specific Recognition Deficits in Young Children with Autism Spectrum Disorders. Journal of Autism and Developmental Disorders, 41(10), 1429–1435. http://doi.org/10.1007/s10803-010-1150-4",database_search,no,exclude,,,,,,,Brief Report: Face-Specific Recognition Deficits in Young Children with Autism Spectrum Disorders,,"Bradshaw, Jessica; Shic, Frederick; Chawarska, Katarzyna",Journal of Autism and Developmental Disorders,,,,10.1007/s10803-010-1150-4,,,,2011,
X-HTS 38,"Bremner, J. G. (2011). Four Themes from 20 Years of Research on Infant Perception and Cognition. Infant and Child Development, 20(2), 137–147. http://doi.org/10.1002/icd.723",database_search,yes,exclude,,,,,,,Four Themes from 20 Years of Research on Infant Perception and Cognition,,"Bremner, J. Gavin",Infant and Child Development,,,,10.1002/icd.723,,,,2011,
X-HTS 39,"BRUCE, V. (1989). SUSPICIOUS COINCIDENCES. Cahiers De Psychologie Cognitive-Current Psychology of Cognition, 9(1), 45–49.",database_search,no,exclude,,,,,,,WHAT THE HUMAN FACE TELLS THE HUMAN MIND - SOME CHALLENGES FOR THE ROBOT-HUMAN INTERFACE,,"BRUCE, V.",Advanced Robotics,,,,,,,,1994,
X-HTS 40,"BRUCE, V. (1994). WHAT THE HUMAN FACE TELLS THE HUMAN MIND - SOME CHALLENGES FOR THE ROBOT-HUMAN INTERFACE. Advanced Robotics, 8(4), 341–355.",database_search,no,exclude,,,,,,,SUSPICIOUS COINCIDENCES,,"BRUCE, V.",Cahiers De Psychologie Cognitive-Current Psychology of Cognition,,,,,,,,1989,
X-HTS 41,"Bruce, V., Green, P. R., & Georgeson, M. A. (2010). Visual Perception: Physiology, Psychology and Ecology, Fourth Edition.",database_search,no,exclude,,,,,,,"Visual Perception: Physiology, Psychology and Ecology, Fourth Edition",,"Bruce, V.; Green, P. R.; Georgeson, M. A.",,,,,,,,,2010,
X-HTS 42,"Bruce, V., Langton, S., & Hill, H. (1999). Complexities of face perception and categorisation. Behavioral and Brain Sciences, 22(3), 369–+. http://doi.org/10.1017/S0140525X99252028",database_search,yes,exclude,,,,,,,Complexities of face perception and categorisation,,"Bruce, V.; Langton, S.; Hill, H.",Behavioral and Brain Sciences,,,,10.1017/S0140525X99252028,,,,1999,
X-HTS 43,"BRYANT, P. (1991). DEVELOPMENTAL-PSYCHOLOGY - FACE TO FACE WITH BABIES. Nature, 354(6348), 19–19. http://doi.org/10.1038/354019a0",database_search,yes,exclude,,,,,,,DEVELOPMENTAL-PSYCHOLOGY - FACE TO FACE WITH BABIES,,"BRYANT, PE",Nature,,,,10.1038/354019a0,,,,1991,
X-HTS 44,"BUSHNELL, I., GERRY, G., & BURT, K. (1983). THE EXTERNALITY EFFECT IN NEONATES. Infant Behavior & Development, 6(2), 151–156. http://doi.org/10.1016/S0163-6383(83)80022-8",database_search,yes,exclude,,,,,,,THE EXTERNALITY EFFECT IN NEONATES,,"BUSHNELL, IWR; GERRY, G.; BURT, K.",Infant Behavior & Development,,,,10.1016/S0163-6383(83)80022-8,,,,1983,
X-HTS 45,"BUSHNELL, I., SAI, F., & MULLIN, J. (1989). NEONATAL RECOGNITION OF THE MOTHERS FACE. British Journal of Developmental Psychology, 7, 3–15.",database_search,no,exclude,,,,,,,NEONATAL RECOGNITION OF THE MOTHERS FACE,,"BUSHNELL, IWR; SAI, F.; MULLIN, JT",British Journal of Developmental Psychology,,,,,,,,1989,
X-HTS 46,"Caldara, R., Seghier, M. L., Rossion, B., Lazeyras, F., Michel, C., & Hauert, C.-A. (2006). The fusiform face area is tuned for curvilinear patterns with more high-contrasted elements in the upper part. Neuroimage, 31(1), 313–319. http://doi.org/10.1016/j.neuroimage.2005.12.011",database_search,no,exclude,,,,,,,The fusiform face area is tuned for curvilinear patterns with more high-contrasted elements in the upper part,,"Caldara, Roberto; Seghier, Mohamed L.; Rossion, Bruno; Lazeyras, Francois; Michel, Christoph; Hauert, Claude-Alain",Neuroimage,,,,10.1016/j.neuroimage.2005.12.011,,,,2006,
X-HTS 47,"Carbon, C.-C., Grueter, M., & Grueter, T. (2013). Age-Dependent Face Detection and Face Categorization Performance. Plos One, 8(10), UNSP e79164. http://doi.org/10.1371/journal.pone.0079164",database_search,no,exclude,,,,,,,Age-Dependent Face Detection and Face Categorization Performance,,"Carbon, Claus-Christian; Grueter, Martina; Grueter, Thomas",Plos One,,,,10.1371/journal.pone.0079164,,,,2013,
X-HTS 48,"Carchon, I. (1999). Visual development on infants. A N a E-Approche Neuropsychologique Des Apprentissages Chez L Enfant, 11(5), 151–158.",database_search,no,exclude,,,,,,,Visual development on infants,,"Carchon, I.",A N a E-Approche Neuropsychologique Des Apprentissages Chez L Enfant,,,,,,,,1999,
X-HTS 49,"CAREY, S. (1992). BECOMING A FACE EXPERT. Philosophical Transactions of the Royal Society of London Series B-Biological Sciences, 335(1273), 95–103. http://doi.org/10.1098/rstb.1992.0012",database_search,yes,exclude,,,,,,,BECOMING A FACE EXPERT,,"CAREY, S.",Philosophical Transactions of the Royal Society of London Series B-Biological Sciences,,,,10.1098/rstb.1992.0012,,,,1992,
X-HTS 50,"Carmel, D., & Bentin, S. (2002). Domain specificity versus expertise: factors influencing distinct processing of faces. Cognition, 83(1), 1–29. http://doi.org/10.1016/S0010-0277(01)00162-7",database_search,yes,exclude,,,,,,,Domain specificity versus expertise: factors influencing distinct processing of faces,,"Carmel, D.; Bentin, S.",Cognition,,,,10.1016/S0010-0277(01)00162-7,,,,2002,
X-HTS 51,"Carr, P. (2007). Internalism, externalism and coding. Language Sciences, 29(5), 672–689. http://doi.org/10.1016/j.langsci.2007.03.002",database_search,yes,exclude,,,,,,,"Internalism, externalism and coding",,"Carr, Philip",Language Sciences,,,,10.1016/j.langsci.2007.03.002,,,,2007,
X-HTS 52,"Carter, R. M., Bowling, D. L., Reeck, C., & Huettel, S. A. (2012). A Distinct Role of the Temporal-Parietal Junction in Predicting Socially Guided Decisions. Science, 337(6090), 109–111. http://doi.org/10.1126/science.1219681",database_search,no,exclude,,,,,,,A Distinct Role of the Temporal-Parietal Junction in Predicting Socially Guided Decisions,,"Carter, R. McKell; Bowling, Daniel L.; Reeck, Crystal; Huettel, Scott A.",Science,,,,10.1126/science.1219681,,,,2012,
X-HTS 53,"Carver, L. J., Dawson, G., Panagiotides, H., Meltzoff, A. N., McPartland, J., Gray, J., & Munson, J. (2003). Age-related differences in neural correlates of face recognition during the toddler and preschool years. Developmental Psychobiology, 42(2), 148–159. http://doi.org/10.1002/dev.10078",database_search,no,exclude,,,,,,,Age-related differences in neural correlates of face recognition during the toddler and preschool years,,"Carver, L. J.; Dawson, G.; Panagiotides, H.; Meltzoff, A. N.; McPartland, J.; Gray, J.; Munson, J.",Developmental Psychobiology,,,,10.1002/dev.10078,,,,2003,
X-HTS 54,"Cassia, V. M., Kuefner, D., Westerlund, A., & Nelson, C. A. (2006). Modulation of face-sensitive event-related potentials by canonical and distorted human faces: The role of vertical symmetry and up-down featural arrangement. Journal of Cognitive Neuroscience, 18(8), 1343–1358. http://doi.org/10.1162/jocn.2006.18.8.1343",database_search,yes,exclude,,,,,,,Face preference at birth: the role of an orienting mechanism,,"Cassia, V. M.; Simion, F.; Umilta, C.",Developmental Science,,,,,,,,2001,
X-HTS 55,"Cassia, V. M., Simion, F., & Umilta, C. (2001). Face preference at birth: the role of an orienting mechanism. Developmental Science, 4(1), 101–108.",database_search,yes,exclude,,,,,,,Modulation of face-sensitive event-related potentials by canonical and distorted human faces: The role of vertical symmetry and up-down featural arrangement,,"Cassia, Viola Macchi; Kuefner, Dana; Westerlund, Afissa; Nelson, Charles A.",Journal of Cognitive Neuroscience,,,,10.1162/jocn.2006.18.8.1343,,,,2006,
X-HTS 56,"Chang, D. H. F., & Troje, N. F. (2009). Characterizing global and local mechanisms in biological motion perception. Journal of Vision, 9(5), 8. http://doi.org/10.1167/9.5.8",database_search,yes,exclude,,,,,,,Characterizing global and local mechanisms in biological motion perception,,"Chang, Dorita H. F.; Troje, Nikolaus F.",Journal of Vision,,,,10.1167/9.5.8,,,,2009,
X-HTS 57,"CHATER, N., & OAKSFORD, M. (1993). HOLISM AND ECLECTICISM IN THE THEORY OF CONCEPTS. European Journal of Cognitive Psychology, 5(2), 173–182. http://doi.org/10.1080/09541449308520114",database_search,yes,exclude,,,,,,,HOLISM AND ECLECTICISM IN THE THEORY OF CONCEPTS,,"CHATER, N.; OAKSFORD, M.",European Journal of Cognitive Psychology,,,,10.1080/09541449308520114,,,,1993,
X-HTS 58,"Chen, C.-H., & Zeki, S. (2011). Frontoparietal Activation Distinguishes Face and Space from Artifact Concepts. Journal of Cognitive Neuroscience, 23(9), 2558–2568. http://doi.org/10.1162/jocn.2011.21617",database_search,no,exclude,,,,,,,Frontoparietal Activation Distinguishes Face and Space from Artifact Concepts,,"Chen, Chi-Hua; Zeki, Semir",Journal of Cognitive Neuroscience,,,,10.1162/jocn.2011.21617,,,,2011,
X-HTS 59,"Chiaravalloti, N. D., Tulsky, D. S., & Glosser, G. (2004). Validation of the WMS-III facial memory subtest with the Graduate Hospital Facial Memory Test in a sample of right and temporal lobectomy left anterior patients. Journal of Clinical and Experimental Neuropsychology, 26(4), 484–497. http://doi.org/10.1080/13803390490496623",database_search,no,exclude,,,,,,,Validation of the WMS-III facial memory subtest with the Graduate Hospital Facial Memory Test in a sample of right and temporal lobectomy left anterior patients,,"Chiaravalloti, N. D.; Tulsky, D. S.; Glosser, G.",Journal of Clinical and Experimental Neuropsychology,,,,10.1080/13803390490496623,,,,2004,
X-HTS 60,"Chien, S. H.-L. (2011). No more top-heavy bias: Infants and adults prefer upright faces but not top-heavy geometric or face-like patterns. Journal of Vision, 11(6), 13. http://doi.org/10.1167/11.6.13",database_search,yes,exclude,,,,,,,No more top-heavy bias: Infants and adults prefer upright faces but not top-heavy geometric or face-like patterns,,"Chien, Sarina Hui-Lin",Journal of Vision,,,,10.1167/11.6.13,,,,2011,
X-HTS 61,"Chien, S. H.-L., Hsu, H.-Y., & Su, B.-H. (2010). Discriminating “top-heavy” versus “bottom-heavy” geometric patterns in 2-to 4.5-month-old infants. Vision Research, 50(20), 2029–2036. http://doi.org/10.1016/j.visres.2010.06.017",database_search,yes,exclude,,,,,,,"Discriminating ""top-heavy"" versus ""bottom-heavy"" geometric patterns in 2-to 4.5-month-old infants",,"Chien, Sarina Hui-Lin; Hsu, Hsin-Yueh; Su, Bai-Horng",Vision Research,,,,10.1016/j.visres.2010.06.017,,,,2010,
X-HTS 62,"Chita-Tegmark, M. (2016). Social attention in ASD: A review and meta-analysis of eye-tracking studies. Research in Developmental Disabilities, 48, 79–93. http://doi.org/10.1016/j.ridd.2015.10.011",database_search,no,exclude,,,,,,,Social attention in ASD: A review and meta-analysis of eye-tracking studies,,"Chita-Tegmark, Meia",Research in Developmental Disabilities,,,,10.1016/j.ridd.2015.10.011,,,,2016,
X-HTS 63,"Coffman, M. C., Trubanova, A., Richey, J. A., White, S. W., Kim-Spoon, J., Ollendick, T. H., & Pine, D. S. (2015). Validation of the NIMH-ChEFS adolescent face stimulus set in an adolescent, parent, and health professional sample. International Journal of Methods in Psychiatric Research, 24(4), 275–286. http://doi.org/10.1002/mpr.1490",database_search,no,exclude,,,,,,,"Validation of the NIMH-ChEFS adolescent face stimulus set in an adolescent, parent, and health professional sample",,"Coffman, Marika C.; Trubanova, Andrea; Richey, J. Anthony; White, Susan W.; Kim-Spoon, Jungmeen; Ollendick, Thomas H.; Pine, Daniel S.",International Journal of Methods in Psychiatric Research,,,,10.1002/mpr.1490,,,,2015,
