"seed_ID","study_ID","year","long_cite","Study_type_.OR.R.","FYI...inclusion.notes","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","lang_used","infant_type","mean_age","stimulus_type_.M.A.","coding_type_.A.L.H.R.","p_ex","p_inc","p_t","p_ratio","data_approximated_.Y.N.","notes","ES_measure","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SE_1","SD_2","SE_2","t","binomial_two.tailed_test","F","reported_d","excel_calculated_d","diff_means"
"FBl","7 - FBl",2015,"Zmyj, N., Prinz, W., & Daum, M. M. (2015). Eighteen-month-olds’ memory interference and distraction in a modified A-not-B task is not associated with their anticipatory looking in a false-belief task. Frontiers in Psychology, 6, 857. http://doi.org/10.3389/fpsyg.2015.00857","R","xp on false belief (note that it was either the first or second task amongst 3 ToM tasks)","y",NA,"FB task","FB task","","eye-tracking","","VOE","looking_time","between","","","",549.92,"A","A",39,22,61,0.3606557377,"N","only keep the FB task","sd_mean_diff","unexpected","expected",11,11,NA,NA,0.913,0.533,0.682,NA,0.479,NA,1.77,NA,NA,NA,0.6762986019,0.38
"NDis","0 - NDis",2000,"Xu, Spelke (2000). Large number discrimination in 6-month-old infants. (n.d.). Retrieved April 13, 2016, from http://www.sciencedirect.com/science/article/pii/S0010027799000669","OR","xp 1 : 1/2 ratio ; not xp 2 (2/3 ratio)","y",NA,"1","","","eye-tracking","","LT","looking_time","between","","","",186.44,"M","L",5,16,21,0.7619047619,"N","","sd_mean_diff","new number","old number",8,8,NA,NA,6.2,4.7,5.1,NA,4.2,NA,NA,NA,NA,NA,0.3432496526,1.5
"NDis","4 - NDis",2003,"Xu, F. (2003). Numerosity discrimination in infants: Evidence for two systems of representations. Cognition, 89(1), B15–B25. http://doi.org/10.1016/S0010-0277(03)00050-7 ","R","only xp 1 (1:2 ratio) ; xp 2 is accross numerosities","Y",NA,"1","filled area control","","eye-tracking","","LT","looking_time","within_two","","","",187.64,"M","L",3,16,19,0.8421052632,"N","","sd_mean_diff","new number","old number",16,NA,NA,NA,11.3,8.1,11.2,NA,6.7,NA,NA,NA,10.134,NA,0.2986686744,3.2
"NDis","1 - NDis",2004,"Brannon, E. M., Abbott, S., & Lutz, D. J. (2004). Number bias for the discrimination of large visual sets in infancy. Cognition, 93(2), B59–B68. http://doi.org/10.1016/j.cognition.2004.01.004","R","xp 1 (1:2 ratio) ; not xp 2 (varies area and not number of dots)","y",NA,"1","","","eye-tracking","","LT","looking_time","within_two","","","",179.2,"A","H",6,16,22,0.7272727273,"N","no SE/SD because unlabeled chart","sd_mean_diff","new number","old number",16,NA,NA,NA,7.3,5.6,3.75713680251698,NA,2.80334205861838,NA,NA,NA,12.9,NA,1.311487705,1.7
"NDis","3 - NDis",2005,"Xu, F., Spelke, E. S., & Goddard, S. (2005). Number sense in human infants. Developmental Science, 8(1), 88–101. http://doi.org/10.1111/j.1467-7687.2005.00395.x","R","xp 1 (1:2) ;not xp 1 (2:3 ratio) ; xp 3 (1:2) with control for surface size) ; not xp 4 (small numerosities)","y",NA,"1","16 first","","eye-tracking","","LT","looking_time","within_two","","","",182.64,"M","H",6,16,22,0.7272727273,"Y","","sd_mean_diff","new number","old number",8,NA,NA,NA,7.93,6.12,3.026417023,1.07,1.414213562,0.5,NA,NA,6.398,NA,0.6495721868,1.81
"NDis","3 - NDis",2005,"Xu, F., Spelke, E. S., & Goddard, S. (2005). Number sense in human infants. Developmental Science, 8(1), 88–101. http://doi.org/10.1111/j.1467-7687.2005.00395.x","R","","y",NA,"1","32 first","","eye-tracking","","LT","looking_time","within_two","","","",182.64,"M","H",6,16,22,0.7272727273,"Y","","sd_mean_diff","new number","old number",8,NA,NA,NA,9.28,5.91,3.111269837,1.1,1.527350647,0.54,NA,NA,NA,NA,1.178408122,3.37
"NDis","3 - NDis",2005,"Xu, F., Spelke, E. S., & Goddard, S. (2005). Number sense in human infants. Developmental Science, 8(1), 88–101. http://doi.org/10.1111/j.1467-7687.2005.00395.x","R","","y",NA,"3","16 first","","eye-tracking","","LT","looking_time","within_two","","","",184.64,"M","H",3,16,19,0.8421052632,"Y","","sd_mean_diff","new number","old number",8,NA,NA,NA,13.57,9.84,6.109402589,2.16,7.099352083,2.51,NA,NA,NA,NA,0.7265132561,3.73
"NDis","3 - NDis",2005,"Xu, F., Spelke, E. S., & Goddard, S. (2005). Number sense in human infants. Developmental Science, 8(1), 88–101. http://doi.org/10.1111/j.1467-7687.2005.00395.x","R","","Y",NA,"3","32 first","","eye-tracking","","LT","looking_time","within_two","","","",184.64,"M","H",3,16,19,0.8421052632,"Y","","sd_mean_diff","new number","old number",8,NA,NA,NA,11.97,7.54,6.646803743,2.35,3.224406922,1.14,NA,NA,NA,NA,0.7247905105,4.43
"NDis","2 - NDis",2008,"Cordes, S., & Brannon, E. M. (2008b). The difficulties of representing continuous extent in infancy: Using number is just easier. Child Development, 79(2), 476–489. http://doi.org/10.1111/j.1467-8624.2007.01137.x","R","xp 1 (1:3 ratio) ; not xp 2 not xp 3 (varies area and not number) ; ","y",NA,"1","","","eye-tracking","","LT","looking_time","within_two","","","",185.64,"A","L",1,16,17,0.9411764706,"N","obtained from author","sd_mean_diff","new number","old number",16,NA,NA,NA,4.6,3,1.94,NA,1.27,NA,3.3,NA,NA,NA,1.204989627,1.6
"wordWSeg","word/0 - WSeg",1995,"Jusczyk, P. W., & Aslin, R. N. (1995). Infants’ detection of the sound patterns of words in fluent speech. Cognitive Psychology, 29(1), 1–23. http://doi.org/10.1006/cogp.1995.1010","OR","xp 1 ; xp 2 ; not xp 3 (tests for loose matching) ; xp 4 (but order fluent / words). All mono-syl ; AmEng ; word > speech","Y",NA,"1","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",230,"A","L",8,24,32,0.75,"N","mono-syll","sd_mean_diff","familiar words","unfamiliar words",24,NA,NA,NA,8.29,7.04,2.09,NA,2.63,NA,2.42,NA,NA,NA,0.6331332629,1.25
"wordWSeg","word/0 - WSeg",1995,"Jusczyk, P. W., & Aslin, R. N. (1995). Infants’ detection of the sound patterns of words in fluent speech. Cognitive Psychology, 29(1), 1–23. http://doi.org/10.1006/cogp.1995.1010","R","","Y",NA,"2","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",177,"A","L",10,24,34,0.7058823529,"N","mono-syll","sd_mean_diff","familiar words","unfamiliar words",24,NA,NA,NA,8.45,7.97,3.54,NA,3.03,NA,1.13,NA,NA,NA,0.1407696515,0.48
"wordWSeg","word/0 - WSeg",1995,"Jusczyk, P. W., & Aslin, R. N. (1995). Infants’ detection of the sound patterns of words in fluent speech. Cognitive Psychology, 29(1), 1–23. http://doi.org/10.1006/cogp.1995.1010","R","","Y",NA,"4","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",236,"A","L",4,24,28,0.8571428571,"N","mono-syll","sd_mean_diff","familiar words","unfamiliar words",24,NA,NA,NA,10.43,8.32,3.87,NA,3.7,NA,3.48,NA,NA,NA,0.5683545068,2.11
"wordWSeg","word/2 - WSeg",2000,"Bortfeld, H., & Morgan, J. (2000). The influence of focusing stress on infants’ recognition of words in fluent speech. In S. C. Howell, S. A. Fish, & T. KeithLucas (Eds.), Proceedings of the 24th Annual Boston University Conference on Language Development, Vols 1 and 2 (pp. 151–163).","R","word > speech ; English ; disyllables ; note : variation of stress patterns in presented words (ie : same word presented with different stress patterns in both phases) ; xp 1 ; xp 2 with only ""new stress"" on words ; xp 3 has an only ""new stress"" word and an alternating stress word (so is within subject)","Y",NA,"1","7,5 mo","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",230,"A","L",NA,12,NA,NA,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",12,NA,NA,NA,9.08,7.34,2.8,NA,1.27,NA,3.61,NA,NA,NA,0.6552169774,1.74
"wordWSeg","word/2 - WSeg",2000,"Bortfeld, H., & Morgan, J. (2000). The influence of focusing stress on infants’ recognition of words in fluent speech. In S. C. Howell, S. A. Fish, & T. KeithLucas (Eds.), Proceedings of the 24th Annual Boston University Conference on Language Development, Vols 1 and 2 (pp. 151–163).","R","","Y",NA,"1","10 mo","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",332,"A","L",NA,12,NA,NA,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",12,NA,NA,NA,7.37,10.55,1.7,NA,2.62,NA,5.21,NA,NA,NA,-2.206454278,-3.18
"wordWSeg","word/2 - WSeg",2000,"Bortfeld, H., & Morgan, J. (2000). The influence of focusing stress on infants’ recognition of words in fluent speech. In S. C. Howell, S. A. Fish, & T. KeithLucas (Eds.), Proceedings of the 24th Annual Boston University Conference on Language Development, Vols 1 and 2 (pp. 151–163).","R","","Y",NA,"2","7,5 mo","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",231,"A","L",NA,12,NA,NA,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",12,NA,NA,NA,8.65,7.29,2.35,NA,1.8,NA,3.77,NA,NA,NA,0.6212512668,1.36
"wordWSeg","word/2 - WSeg",2000,"Bortfeld, H., & Morgan, J. (2000). The influence of focusing stress on infants’ recognition of words in fluent speech. In S. C. Howell, S. A. Fish, & T. KeithLucas (Eds.), Proceedings of the 24th Annual Boston University Conference on Language Development, Vols 1 and 2 (pp. 151–163).","R","","Y",NA,"2","10 mo","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",327,"A","L",NA,12,NA,NA,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",12,NA,NA,NA,7.45,9.15,2.07,NA,2.41,NA,4.7,NA,NA,NA,-0.9160705248,-1.7
"wordWSeg","word/2 - WSeg",2000,"Bortfeld, H., & Morgan, J. (2000). The influence of focusing stress on infants’ recognition of words in fluent speech. In S. C. Howell, S. A. Fish, & T. KeithLucas (Eds.), Proceedings of the 24th Annual Boston University Conference on Language Development, Vols 1 and 2 (pp. 151–163).","R","","Y",NA,"3","all new stress in fam","2-WSeg_3","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",224,"A","L",NA,12,NA,NA,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",12,NA,NA,NA,9.94,6.62,2.85,NA,1.29,NA,NA,NA,NA,NA,1.22820261,3.32
"wordWSeg","word/2 - WSeg",2000,"Bortfeld, H., & Morgan, J. (2000). The influence of focusing stress on infants’ recognition of words in fluent speech. In S. C. Howell, S. A. Fish, & T. KeithLucas (Eds.), Proceedings of the 24th Annual Boston University Conference on Language Development, Vols 1 and 2 (pp. 151–163).","R","","Y",NA,"3","alternating stress in fam","2-WSeg_3","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",224,"A","L",NA,12,NA,NA,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",12,NA,NA,NA,7.81,6.62,2.07,NA,1.29,NA,NA,NA,NA,NA,0.6113304981,1.19
"wordWSeg","word/6 - WSeg",2003,"Hohle, B., & Weissenborn, J. (2003). German-learning infants’ ability to detect unstressed closed-class elements in continuous speech. Developmental Science, 6(2), 122–127. http://doi.org/10.1111/1467-7687.00261","R","words > speech ; German, monosyl ; xp 1 ; xp 2 ; ","Y",NA,"1","","","behavior","familiarization","HPP","listening_time","within_two","German","German IDS","typical",244.52,"A","L",11,28,39,0.7179487179,"N","monosyl","sd_mean_diff","familiar words","unfamiliar words",28,NA,NA,NA,8.345,7,2.38,NA,1.926,NA,2.77,NA,NA,NA,0.4106390695,1
"wordWSeg","word/6 - WSeg",2003,"Hohle, B., & Weissenborn, J. (2003). German-learning infants’ ability to detect unstressed closed-class elements in continuous speech. Developmental Science, 6(2), 122–127. http://doi.org/10.1111/1467-7687.00261","R","","Y",NA,"2","","","behavior","familiarization","HPP","listening_time","within_two","German","German IDS","typical",194.64,"A","L",3,28,31,0.9032258065,"N","monosyl","sd_mean_diff","familiar words","unfamiliar words",28,NA,NA,NA,8.764,8.617,2.462,NA,2.501,NA,0.42,NA,NA,NA,0.06199954268,0.147
"wordWSeg","word/7 - WSeg",2004,"Houston, D. M., Santelmann, L. M., & Jusczyk, P. W. (2004). English-learning infants’ segmentation of trisyllabic words from fluent speech. Language and Cognitive Processes, 19(1), 97–136. http://doi.org/10.1080/01690960344000143","R","word > speech AmEng, trisyl ; xp 1 (primary stress on first syllable) ; xp 2 (primary stress on last syllable) ; xp 3 is a task of monosyllable recognition inside a word ; xp 4 (stress in the final) ; xp 5 (stress on first) ; xp 6 (disyll recognition within trisyl)","Y",NA,"1","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",232,"A","H",21,28,49,0.5714285714,"N","trisyl","sd_mean_diff","familiar words","unfamiliar words",28,NA,NA,NA,7.65,6.77,2.53,NA,1.56,NA,2.25,NA,NA,NA,0.3567292693,0.88
"wordWSeg","word/7 - WSeg",2004,"Houston, D. M., Santelmann, L. M., & Jusczyk, P. W. (2004). English-learning infants’ segmentation of trisyllabic words from fluent speech. Language and Cognitive Processes, 19(1), 97–136. http://doi.org/10.1080/01690960344000143","R","","Y",NA,"2","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",227,"A","H",14,28,42,0.6666666667,"N","trisyl","sd_mean_diff","familiar words","unfamiliar words",28,NA,NA,NA,8.42,7.82,2.8,NA,2.97,NA,1.42,NA,NA,NA,0.2229117795,0.6
"wordWSeg","word/7 - WSeg",2004,"Houston, D. M., Santelmann, L. M., & Jusczyk, P. W. (2004). English-learning infants’ segmentation of trisyllabic words from fluent speech. Language and Cognitive Processes, 19(1), 97–136. http://doi.org/10.1080/01690960344000143","R","","Y",NA,"3","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",232,"A","H",11,28,39,0.7179487179,"N","syl in word","sd_mean_diff","familiar words","unfamiliar words",28,NA,NA,NA,7.26,6.56,2.06,NA,2.69,NA,1.32,NA,NA,NA,0.3575148082,0.7
"wordWSeg","word/7 - WSeg",2004,"Houston, D. M., Santelmann, L. M., & Jusczyk, P. W. (2004). English-learning infants’ segmentation of trisyllabic words from fluent speech. Language and Cognitive Processes, 19(1), 97–136. http://doi.org/10.1080/01690960344000143","R","","Y",NA,"4","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",225,"A","H",7,32,39,0.8205128205,"N","trisyl","sd_mean_diff","familiar words","unfamiliar words",32,NA,NA,NA,7.59,7.63,2.87,NA,2.88,NA,-0.09,NA,NA,NA,-0.01439603822,-0.04
"wordWSeg","word/7 - WSeg",2004,"Houston, D. M., Santelmann, L. M., & Jusczyk, P. W. (2004). English-learning infants’ segmentation of trisyllabic words from fluent speech. Language and Cognitive Processes, 19(1), 97–136. http://doi.org/10.1080/01690960344000143","R","","Y",NA,"5","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",226,"A","H",9,32,41,0.7804878049,"N","trisyl","sd_mean_diff","familiar words","unfamiliar words",32,NA,NA,NA,8.44,7.46,3.04,NA,2.46,NA,2.06,NA,NA,NA,0.3310416472,0.98
"wordWSeg","word/7 - WSeg",2004,"Houston, D. M., Santelmann, L. M., & Jusczyk, P. W. (2004). English-learning infants’ segmentation of trisyllabic words from fluent speech. Language and Cognitive Processes, 19(1), 97–136. http://doi.org/10.1080/01690960344000143","R","","Y",NA,"6","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",225,"A","H",15,32,47,0.6808510638,"N","bisyl in a trisyl word","sd_mean_diff","familiar bisyl","unfamiliar bisyl",32,NA,NA,NA,7.49,7.51,2.67,NA,2.78,NA,-0.02,NA,NA,NA,-0.007747162148,-0.02
"wordWSeg","word/11 - WSeg",2005,"Nazzi, T., Dilley, L. C., Jusczyk, A. M., Shattuck-Hufnagel, S., & Jusczyk, P. W. (2005). English-learning infants’ segmentation of verbs from fluent speech. Language and Speech, 48, 279–298.","R","AmEnglish bisyllabic verbs ; word > speech xp 1 (with strong/weak stress) ; xp 2 (with weak/strong stress) ; ","Y",NA,"1","10.5 mo","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",321,"A","L",7,24,31,0.7741935484,"Y","di-syll","sd_mean_diff","familiar words","unfamiliar words",24,NA,NA,NA,6.92,6.84,2.96,NA,3.13,NA,NA,NA,NA,NA,0.02830492516,0.08
"wordWSeg","word/11 - WSeg",2005,"Nazzi, T., Dilley, L. C., Jusczyk, A. M., Shattuck-Hufnagel, S., & Jusczyk, P. W. (2005). English-learning infants’ segmentation of verbs from fluent speech. Language and Speech, 48, 279–298.","R","","Y",NA,"1","13.5 mo","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",404,"A","L",7,24,31,0.7741935484,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",24,NA,NA,NA,7.35,5.73,3.3,NA,2.59,NA,NA,NA,NA,NA,0.5083206142,1.62
"wordWSeg","word/11 - WSeg",2005,"Nazzi, T., Dilley, L. C., Jusczyk, A. M., Shattuck-Hufnagel, S., & Jusczyk, P. W. (2005). English-learning infants’ segmentation of verbs from fluent speech. Language and Speech, 48, 279–298.","R","","Y",NA,"2","10.5 mo","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",319,"A","L",13,32,45,0.7111111111,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",32,NA,NA,NA,6.07,6.39,2.38,NA,2.35,NA,NA,NA,NA,NA,-0.1388053265,-0.32
"wordWSeg","word/11 - WSeg",2005,"Nazzi, T., Dilley, L. C., Jusczyk, A. M., Shattuck-Hufnagel, S., & Jusczyk, P. W. (2005). English-learning infants’ segmentation of verbs from fluent speech. Language and Speech, 48, 279–298.","R","","Y",NA,"2","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",421,"A","L",19,24,43,0.5581395349,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",24,NA,NA,NA,6.87,5.52,2.1,NA,1.59,NA,NA,NA,NA,NA,0.6650236219,1.35
"wordWSeg","word/11 - WSeg",2005,"Nazzi, T., Dilley, L. C., Jusczyk, A. M., Shattuck-Hufnagel, S., & Jusczyk, P. W. (2005). English-learning infants’ segmentation of verbs from fluent speech. Language and Speech, 48, 279–298.","R","","Y",NA,"2","","","behavior","familiarization","HPP","listening_time","within_two","Am Eng","Am Eng IDS","typical",497,"A","L",7,24,31,0.7741935484,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",24,NA,NA,NA,9.17,6.55,4.62,NA,3.4,NA,NA,NA,NA,NA,0.5862400339,2.62
"wordWSeg","word/12 - WSeg",2006,"Nazzi, T., Iakimova, G., Bertoncini, J., Fredonie, S., & Alcantara, C. (2006). Early segmentation of fluent speech by infants acquiring French: Emerging evidence for crosslinguistic differences. Journal of Memory and Language, 54(3), 283–299. http://doi.org/10.1016/j.jml.2005.10.004 ","R","French bisyllabic ; word > speech : xp 1 ; xp 2 is syllabic recognition (fam to syllables and then speech with words containing the syllables at the end) ; xp 3 and xp 4 syllabic recognition (fam to syllables and then speech with words containing the syllables at the beginning).","Y",NA,"1","8 mo","","behavior","familiarization","HPP","listening_time","within_two","Europ French","PFrench IDS","typical",246.564,"A","L",10,16,26,0.6153846154,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",16,NA,NA,NA,7.52,7.4,1.88,NA,1.34,NA,NA,NA,NA,NA,0.06706867932,0.12
"wordWSeg","word/12 - WSeg",2006,"Nazzi, T., Iakimova, G., Bertoncini, J., Fredonie, S., & Alcantara, C. (2006). Early segmentation of fluent speech by infants acquiring French: Emerging evidence for crosslinguistic differences. Journal of Memory and Language, 54(3), 283–299. http://doi.org/10.1016/j.jml.2005.10.004 ","R","","Y",NA,"1","12 mo","","behavior","familiarization","HPP","listening_time","within_two","Europ French","PFrench IDS","typical",368.324,"A","L",6,16,22,0.7272727273,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",16,NA,NA,NA,6.28,6.43,1.77,NA,1.58,NA,NA,NA,NA,NA,-0.08994673358,-0.15
"wordWSeg","word/12 - WSeg",2006,"Nazzi, T., Iakimova, G., Bertoncini, J., Fredonie, S., & Alcantara, C. (2006). Early segmentation of fluent speech by infants acquiring French: Emerging evidence for crosslinguistic differences. Journal of Memory and Language, 54(3), 283–299. http://doi.org/10.1016/j.jml.2005.10.004 ","R","","Y",NA,"1","16 mo","","behavior","familiarization","HPP","listening_time","within_two","Europ French","PFrench IDS","typical",492.2148,"A","L",10,16,26,0.6153846154,"N","di-syll","sd_mean_diff","familiar words","unfamiliar words",16,NA,NA,NA,7.25,6.02,1.73,NA,1.93,NA,NA,NA,NA,NA,0.7667999106,1.23
"wordWSeg","word/12 - WSeg",2006,"Nazzi, T., Iakimova, G., Bertoncini, J., Fredonie, S., & Alcantara, C. (2006). Early segmentation of fluent speech by infants acquiring French: Emerging evidence for crosslinguistic differences. Journal of Memory and Language, 54(3), 283–299. http://doi.org/10.1016/j.jml.2005.10.004 ","R","","Y",NA,"2","8 mo","","behavior","familiarization","HPP","listening_time","within_two","Europ French","PFrench IDS","typical",248.6948,"A","L",11,16,27,0.5925925926,"N","syll within word","sd_mean_diff","familiar words","unfamiliar words",16,NA,NA,NA,7.44,7.63,1.29,NA,1.39,NA,NA,NA,NA,NA,-0.1583697681,-0.19
