UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
XIntAct - 10,"Atsumi, T., & Nagasaka, Y. (2015). Perception of chasing in squirrel monkeys (Saimiri sciureus). Animal Cognition, 18(6), 1243–1253. http://doi.org/10.1007/s10071-015-0893-x",database_search,no,x,,,,,,,Perception of chasing in squirrel monkeys (Saimiri sciureus),,"Atsumi, Takeshi; Nagasaka, Yasuo",Animal Cognition,,,,10.1007/s10071-015-0893-x,,,,2015,
XIntAct - 11,"Attili, G. (2015). Evolution of Theory of Mind. Rivista Internazionale Di Filosofia E Psicologia, 6(2), 222–237. http://doi.org/10.4453/rifp.2015.0020",database_search,no,x,,,,,,,Evolution of Theory of Mind,,"Attili, Grazia",Rivista Internazionale Di Filosofia E Psicologia,,,,10.4453/rifp.2015.0020,,,,2015,
XIntAct - 12,"Auvray, M., Lenay, C., & Stewart, J. (2009). Perceptual interactions in a minimalist virtual environment. New Ideas in Psychology, 27(1), 32–47. http://doi.org/10.1016/j.newideapsych.2007.12.002",database_search,no,x,,,,,,,Perceptual interactions in a minimalist virtual environment,,"Auvray, Malika; Lenay, Charles; Stewart, John",New Ideas in Psychology,,,,10.1016/j.newideapsych.2007.12.002,,,,2009,
XIntAct - 13,"Baillargeon, R., Scott, R. M., & Bian, L. (2016). Psychological Reasoning in Infancy. In S. T. Fiske (Ed.), Annual Review of Psychology, Vol 67 (Vol. 67, pp. 159–186). ",database_search,yes,x,,,,,,,Psychological Reasoning in Infancy,,"Baillargeon, Renee; Scott, Rose M.; Bian, Lin","Annual Review of Psychology, Vol 67",,,,,,,,2016,
XIntAct - 14,"Baillargeon, R. (2008). Innate Ideas Revisited For a Principle of Persistence in Infants’ Physical Reasoning. Perspectives on Psychological Science, 3(1), 2–13. http://doi.org/10.1111/j.1745-6916.2008.00056.x",database_search,yes,x,,,,,,,Innate Ideas Revisited For a Principle of Persistence in Infants' Physical Reasoning,,"Baillargeon, Renee",Perspectives on Psychological Science,,,,10.1111/j.1745-6916.2008.00056.x,,,,2008,
XIntAct - 15,"Baimel, A., Severson, R. L., Baron, A. S., & Birch, S. A. J. (2015). Enhancing “theory of mind” through behavioral synchrony. Frontiers in Psychology, 6, 870. http://doi.org/10.3389/fpsyg.2015.00870",database_search,no,x,,,,,,,"Enhancing ""theory of mind"" through behavioral synchrony",,"Baimel, Adam; Severson, Rachel L.; Baron, Andrew S.; Birch, Susan A. J.",Frontiers in Psychology,,,,10.3389/fpsyg.2015.00870,,,,2015,
XIntAct - 16,"Baker, C. L., Saxe, R., & Tenenbaum, J. B. (2009). Action understanding as inverse planning. Cognition, 113(3), 329–349. http://doi.org/10.1016/j.cognition.2009.07.005",database_search,yes,x,,,,,,,Action understanding as inverse planning,,"Baker, Chris L.; Saxe, Rebecca; Tenenbaum, Joshua B.",Cognition,,,,10.1016/j.cognition.2009.07.005,,,,2009,
XIntAct - 17,"Balas, B., Kanwisher, N., & Saxe, R. (2012). Thin-slice perception develops slowly. Journal of Experimental Child Psychology, 112(2), 257–264. http://doi.org/10.1016/j.jecp.2012.01.002",database_search,yes,x,,,,,,,Thin-slice perception develops slowly,,"Balas, Benjamin; Kanwisher, Nancy; Saxe, Rebecca",Journal of Experimental Child Psychology,,,,10.1016/j.jecp.2012.01.002,,,,2012,
XIntAct - 18,"Baldwin, D. A., & Baird, J. A. (2001). Discerning intentions in dynamic human action. Trends in Cognitive Sciences, 5(4), 171–178. http://doi.org/10.1016/S1364-6613(00)01615-6",database_search,yes,x,,,,,,,Discerning intentions in dynamic human action,,"Baldwin, D. A.; Baird, J. A.",Trends in Cognitive Sciences,,,,10.1016/S1364-6613(00)01615-6,,,,2001,
XIntAct - 19,"Baldwin, D. A., & Moses, L. J. (2001). Links between social understanding and early word learning: Challenges to current accounts. Social Development, 10(3), 309–329. http://doi.org/10.1111/1467-9507.00168",database_search,no,x,,,,,,,Links between social understanding and early word learning: Challenges to current accounts,,"Baldwin, D. A.; Moses, L. J.",Social Development,,,,10.1111/1467-9507.00168,,,,2001,
XIntAct - 20,"Baldwin, D., & Sage, K. D. (2013). Dwelling on Action. (M. D. Rutherford & V. A. Kuhlmeier, Eds.).",database_search,yes,x,,,,,,,Dwelling on Action,,"Baldwin, Dare; Sage, Kara D.",,,,,,,,,2013,
XIntAct - 21,"Banerjee, K., & Bloom, P. (2014). Why did this happen to me? Religious believers’ and non-believers’ teleological reasoning about life events. Cognition, 133(1), 277–303. http://doi.org/10.1016/j.cognition.2014.06.017",database_search,no,x,,,,,,,Why did this happen to me? Religious believers' and non-believers' teleological reasoning about life events,,"Banerjee, Konika; Bloom, Paul",Cognition,,,,10.1016/j.cognition.2014.06.017,,,,2014,
XIntAct - 22,"Banerjee, K., & Bloom, P. (2015). “Everything Happens for a Reason”: Children’s Beliefs About Purpose in Life Events. Child Development, 86(2), 503–518. http://doi.org/10.1111/cdev.12312",database_search,no,x,,,,,,,"""Everything Happens for a Reason"": Children's Beliefs About Purpose in Life Events",,"Banerjee, Konika; Bloom, Paul",Child Development,,,,10.1111/cdev.12312,,,,2015,
XIntAct - 23,"Banovsky, J. (2013). On the Attribution of Mental States. Filozofia, 68(6), 530–538.",database_search,yes,x,,,,,,,On the Attribution of Mental States,,"Banovsky, Juraj",Filozofia,,,,,,,,2013,
XIntAct - 24,"Barcz, M. (2015). Against the Naturalization of the Philosophy of Action. Filozofia Nauki, 23(2), 83–+.",database_search,yes,x,,,,,,,Against the Naturalization of the Philosophy of Action,,"Barcz, Michal",Filozofia Nauki,,,,,,,,2015,
XIntAct - 25,"Baron-Cohen, S. (2005). Autism and the origins of social neuroscience. Cognitive Neuroscience of Social Behaviour, 239–255. http://doi.org/10.4324/9780203311875_chapter_8",database_search,no,x,,,,,,,Autism and the origins of social neuroscience,,"Baron-Cohen, Simon",Cognitive Neuroscience of Social Behaviour,,,,10.4324/9780203311875_chapter_8,,,,2005,
XIntAct - 26,"Baron-Cohen, S. (2006). The hyper-systemizing, assortative mating theory of autism. Progress in Neuro-Psychopharmacology & Biological Psychiatry, 30(5), 865–872. http://doi.org/10.1016/j.pnpbp.2006.01.010",database_search,no,x,,,,,,,"The hyper-systemizing, assortative mating theory of autism",,"Baron-Cohen, Simon",Progress in Neuro-Psychopharmacology & Biological Psychiatry,,,,10.1016/j.pnpbp.2006.01.010,,,,2006,
XIntAct - 27,"Barrett, H. C., & Behne, T. (2005). Children’s understanding of death as the cessation of agency: a test using sleep versus death. Cognition, 96(2), 93–108. http://doi.org/10.1016/j.cognition.2004.05.004",database_search,no,x,,,,,,,Children's understanding of death as the cessation of agency: a test using sleep versus death,,"Barrett, H. C.; Behne, T.",Cognition,,,,10.1016/j.cognition.2004.05.004,,,,2005,
XIntAct - 28,"Barrett, H. C., Todd, P. M., Miller, G. F., & Blythe, P. W. (2005). Accurate judgments of intention from motion cues alone: A cross-cultural study. Evolution and Human Behavior, 26(4), 313–331. http://doi.org/10.1016/j.evolhumbehav.2004.08.015",database_search,yes,x,,,,,,,Accurate judgments of intention from motion cues alone: A cross-cultural study,,"Barrett, H. C.; Todd, P. M.; Miller, G. F.; Blythe, P. W.",Evolution and Human Behavior,,,,10.1016/j.evolhumbehav.2004.08.015,,,,2005,
XIntAct - 29,"Barrett, J. L. (2008). Coding and Quantifying Counterintuitiveness in Religious Concepts: Theoretical and Methodological Reflections. Method & Theory in the Study of Religion, 20(4), 308–338. http://doi.org/10.1163/157006808X371806",database_search,no,x,,,,,,,God's beliefs versus mother's: The development of nonhuman agent concepts,,"Barrett, J. L.; Richert, R. A.; Driesenga, A.",Child Development,,,,10.1111/1467-8624.00265,,,,2001,
XIntAct - 30,"Barrett, J. L., Richert, R. A., & Driesenga, A. (2001). God’s beliefs versus mother’s: The development of nonhuman agent concepts. Child Development, 72(1), 50–65. http://doi.org/10.1111/1467-8624.00265",database_search,no,x,,,,,,,Coding and Quantifying Counterintuitiveness in Religious Concepts: Theoretical and Methodological Reflections,,"Barrett, Justin L.",Method & Theory in the Study of Religion,,,,10.1163/157006808X371806,,,,2008,
XIntAct - 31,"Barrett, L. (2011). Beyond the Brain: How Body and Environment Shape Animal and Human Minds.",database_search,no,x,,,,,,,Beyond the Brain: How Body and Environment Shape Animal and Human Minds,,"Barrett, L.",,,,,,,,,2011,
XIntAct - 32,"Behne, T., Carpenter, M., Call, J., & Tomasello, M. (2005). Unwilling versus unable: Infants’ understanding of intentional action. Developmental Psychology, 41(2), 328–337. http://doi.org/10.1037/0012-1649.41.2.328",database_search,yes,x,,,,,,,Unwilling versus unable: Infants' understanding of intentional action,,"Behne, T.; Carpenter, M.; Call, J.; Tomasello, M.",Developmental Psychology,,,,10.1037/0012-1649.41.2.328,,,,2005,
XIntAct - 33,"Beier, J. S., & Carey, S. (2014). Contingency Is Not Enough: Social Context Guides Third-Party Attributions of Intentional Agency. Developmental Psychology, 50(3), 889–902. http://doi.org/10.1037/a0034171",database_search,no,x,,,,,,,Contingency Is Not Enough: Social Context Guides Third-Party Attributions of Intentional Agency,,"Beier, Jonathan S.; Carey, Susan",Developmental Psychology,,,,10.1037/a0034171,,,,2014,
XIntAct - 34,"Beier, J. S., & Spelke, E. S. (2012). Infants’ Developing Understanding of Social Gaze. Child Development, 83(2), 486–496. http://doi.org/10.1111/j.1467-8624.2011.01702.x",database_search,no,x,,,,,,,Infants' Developing Understanding of Social Gaze,,"Beier, Jonathan S.; Spelke, Elizabeth S.",Child Development,,,,10.1111/j.1467-8624.2011.01702.x,,,,2012,
XIntAct - 35,"Bering, J. M. (2002). The existential theory of mind. Review of General Psychology, 6(1), 3–24. http://doi.org/10.1037//1089-2680.6.1.3",database_search,no,x,,,,,,,The existential theory of mind,,"Bering, J. M.",Review of General Psychology,,,,10.1037//1089-2680.6.1.3,,,,2002,
XIntAct - 36,"Bering, J. M. (2003). Towards a cognitive theory of existential meaning. New Ideas in Psychology, 21(2), 101–120. http://doi.org/10.1016/S0732-118X(03)00014-X",database_search,no,x,,,,,,,Towards a cognitive theory of existential meaning,,"Bering, J. M.",New Ideas in Psychology,,,,10.1016/S0732-118X(03)00014-X,,,,2003,
XIntAct - 37,"Biro, S., Csibra, G., & Gergely, G. (2007). The role of behavioral cues in understanding goal-directed actions in infancy. In C. VonHofsten & K. Rosander (Eds.), From Action to Cognition (Vol. 164, pp. 303–322). ",database_search,yes,x,,,,,,,The role of behavioral cues in understanding goal-directed actions in infancy,,"Biro, Szilvia; Csibra, Gergely; Gergely, Gyoergy",From Action to Cognition,,,,,,,,2007,
XIntAct - 38,"Biro, S., & Hommel, B. (2007). Becoming an intentional agent: Introduction to the special issue. Acta Psychologica, 124(1), 1–7. http://doi.org/10.1016/j.actpsy.2006.09.003",database_search,no,x,,,,,,,Becoming an intentional agent: Introduction to the special issue,,"Biro, Szilvia; Hommel, Bernhard",Acta Psychologica,,,,10.1016/j.actpsy.2006.09.003,,,,2007,
XIntAct - 39,"Biro, S., & Leslie, A. M. (2007). Infants’ perception of goal-directed actions: development through cue-based bootstrapping. Developmental Science, 10(3), 379–398. http://doi.org/10.1111/j.1467-7687.2006.00544.x ",database_search,yes,include,yes,,exclude,"doesn't rest on the ""rational"" action paradigm",,,Infants' perception of goal-directed actions: development through cue-based bootstrapping,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2006.00544.x/epdf,"Biro, Szilvia; Leslie, Alan M.",Developmental Science,,,,10.1111/j.1467-7687.2006.00544.x,,,,2007,
XIntAct - 40,"Biro, S., Verschoor, S., Coalter, E., & Leslie, A. M. (2014). Outcome producing potential influences twelve-month-olds’ interpretation of a novel action as goal-directed. Infant Behavior & Development, 37(4), 729–738. http://doi.org/10.1016/j.infbeh.2014.09.004 ",database_search,yes,x,,,,,,,Outcome producing potential influences twelve-month-olds' interpretation of a novel action as goal-directed,,"Biro, Szilvia; Verschoor, Stephan; Coalter, Esther; Leslie, Alan M.",Infant Behavior & Development,,,,10.1016/j.infbeh.2014.09.004,,,,2014,
XIntAct - 41,"Biro, S., Verschoor, S., & Coenen, L. (2011). Evidence for a unitary goal concept in 12-month-old infants. Developmental Science, 14(6), 1255–1260. http://doi.org/10.1111/j.1467-7687.2011.01042.x ",database_search,yes,x,,,,,,,Evidence for a unitary goal concept in 12-month-old infants,,"Biro, Szilvia; Verschoor, Stephan; Coenen, Lot",Developmental Science,,,,10.1111/j.1467-7687.2011.01042.x,,,,2011,
XIntAct - 42,"Biro, S. (2013). The role of the efficiency of novel actions in infants’ goal anticipation. Journal of Experimental Child Psychology, 116(2), 415–427. http://doi.org/10.1016/j.jecp.2012.09.011 ",database_search,no,x,,,,,,,The role of the efficiency of novel actions in infants' goal anticipation,,"Biro, Szilvia",Journal of Experimental Child Psychology,,,,10.1016/j.jecp.2012.09.011,,,,2013,
XIntAct - 43,"Blackwood, N. J., Bentall, R. P., ffytche, D. H., Simmons, A., Murray, R. M., & Howard, R. J. (2003). Self-responsibility and the self-serving bias: an fMRI investigation of causal attributions. Neuroimage, 20(2), 1076–1085. http://doi.org/10.1016/S1053-8119(03)00331-8",database_search,no,x,,,,,,,Self-responsibility and the self-serving bias: an fMRI investigation of causal attributions,,"Blackwood, N. J.; Bentall, R. P.; ffytche, D. H.; Simmons, A.; Murray, R. M.; Howard, R. J.",Neuroimage,,,,10.1016/S1053-8119(03)00331-8,,,,2003,
XIntAct - 44,"Blair, R. J. R., Frith, U., Smith, N., Abell, F., & Cipolotti, L. (2002). Fractionation of visual memory: agency detection and its impairment in autism. Neuropsychologia, 40(1), 108–118. http://doi.org/10.1016/S0028-3932(01)00069-0",database_search,no,x,,,,,,,Fractionation of visual memory: agency detection and its impairment in autism,,"Blair, R. J. R.; Frith, U.; Smith, N.; Abell, F.; Cipolotti, L.",Neuropsychologia,,,,10.1016/S0028-3932(01)00069-0,,,,2002,
XIntAct - 45,"Blakemore, S. J., & Decety, J. (2001). From the perception of action to the understanding of intention. Nature Reviews Neuroscience, 2(8), 561–567.",database_search,yes,x,,,,,,,From the perception of action to the understanding of intention,,"Blakemore, S. J.; Decety, J.",Nature Reviews Neuroscience,,,,,,,,2001,
XIntAct - 46,"Blancke, S., De Smedt, J., De Cruz, H., Boudry, M., & Braeckman, J. (2012). The Implications of the Cognitive Sciences for the Relation Between Religion and Science Education: The Case of Evolutionary Theory. Science & Education, 21(8), 1167–1184. http://doi.org/10.1007/s11191-011-9402-z",database_search,no,x,,,,,,,The Implications of the Cognitive Sciences for the Relation Between Religion and Science Education: The Case of Evolutionary Theory,,"Blancke, Stefaan; De Smedt, Johan; De Cruz, Helen; Boudry, Maarten; Braeckman, Johan",Science & Education,,,,10.1007/s11191-011-9402-z,,,,2012,
XIntAct - 47,"Blokpoel, M., Kwisthout, J., van der Weide, T. P., Wareham, T., & van Rooij, I. (2013). A computational-level explanation of the speed of goal inference. Journal of Mathematical Psychology, 57(3-4), 117–133. http://doi.org/10.1016/j.jmp.2013.05.006",database_search,no,x,,,,,,,A computational-level explanation of the speed of goal inference,,"Blokpoel, Mark; Kwisthout, Johan; van der Weide, Theo P.; Wareham, Todd; van Rooij, Iris",Journal of Mathematical Psychology,,,,10.1016/j.jmp.2013.05.006,,,,2013,
XIntAct - 48,"Bloom, P., & German, T. P. (2000). Two reasons to abandon the false belief task as a test of theory of mind. Cognition, 77(1), B25–B31. http://doi.org/10.1016/S0010-0277(00)00096-2",database_search,yes,x,,,,,,,Two reasons to abandon the false belief task as a test of theory of mind,,"Bloom, P.; German, T. P.",Cognition,,,,10.1016/S0010-0277(00)00096-2,,,,2000,
XIntAct - 49,"Bloom, P., & Veres, C. (1999). The perceived intentionality of groups. Cognition, 71(1), B1–B9. http://doi.org/10.1016/S0010-0277(99)00014-1 ",database_search,no,x,,,,,,,The perceived intentionality of groups,,"Bloom, P.; Veres, C.",Cognition,,,,10.1016/S0010-0277(99)00014-1,,,,1999,
XIntAct - 50,"Bloom, P., & Weisberg, D. S. (2007). Childhood origins of adult resistance to science. Science, 316(5827), 996–997. http://doi.org/10.1126/science.1133398 ",database_search,no,x,,,,,,,Childhood origins of adult resistance to science,,"Bloom, Paul; Weisberg, Deena Skolnick",Science,,,,10.1126/science.1133398,,,,2007,
XIntAct - 51,"Bloom, P. (1997). Intentionality and word learning. Trends in Cognitive Sciences, 1(1), 9–12. http://doi.org/10.1016/S1364-6613(97)01006-1 ",database_search,no,x,,,,,,,Intentionality and word learning,,"Bloom, Paul",Trends in Cognitive Sciences,,,,10.1016/S1364-6613(97)01006-1,,,,1997,
XIntAct - 52,"Bonatti, L. L., Cherubini, P., & Reverberi, C. (2015). Nothing new under the sun, or the moon, or both. Frontiers in Human Neuroscience, 9, 588. http://doi.org/10.3389/fnhum.2015.00588",database_search,yes,x,,,,,,,"Nothing new under the sun, or the moon, or both",,"Bonatti, Luca L.; Cherubini, Paolo; Reverberi, Carlo",Frontiers in Human Neuroscience,,,,10.3389/fnhum.2015.00588,,,,2015,
XIntAct - 53,"Bonchek-Dokow, E., & Kaminka, G. A. (2014). Towards computational models of intention detection and intention prediction. Cognitive Systems Research, 28, 44–79. http://doi.org/10.1016/j.cogsys.2013.07.004",database_search,no,x,,,,,,,Towards computational models of intention detection and intention prediction,,"Bonchek-Dokow, Elisheva; Kaminka, Gal A.",Cognitive Systems Research,,,,10.1016/j.cogsys.2013.07.004,,,,2014,
XIntAct - 54,"Borg, E. (2007). If mirror neurons are the answer what was the question? Journal of Consciousness Studies, 14(8), 5–19.",database_search,no,x,,,,,,,If mirror neurons are the answer what was the question?,,"Borg, Emma",Journal of Consciousness Studies,,,,,,,,2007,
XIntAct - 55,"Borghi, A. M., & Binkofski, F. (2014). Word Learning and Word Acquisition. In Words as Social Tools: An Embodied View on Abstract Concepts (pp. 71–93).",database_search,no,x,,,,,,,Word Learning and Word Acquisition,,"Borghi, Anna M.; Binkofski, Ferdinand",Words as Social Tools: An Embodied View on Abstract Concepts,,,,,,,,2014,
XIntAct - 56,"Boyer, P. (2011). Intuitive expectations and the detection of mental disorder: A cognitive background to folk-psychiatries. Philosophical Psychology, 24(1), 95–118. http://doi.org/10.1080/09515089.2010.529049",database_search,no,x,,,,,,,Intuitive expectations and the detection of mental disorder: A cognitive background to folk-psychiatries,,"Boyer, Pascal",Philosophical Psychology,,,,10.1080/09515089.2010.529049,,,,2011,
XIntAct - 57,"Boyer, T. W., Pan, J. S., & Bertenthal, B. I. (2011). Infants’ understanding of actions performed by mechanical devices. Cognition, 121(1), 1–11. http://doi.org/10.1016/j.cognition.2011.05.012",database_search,yes,x,,,,,,,Infants' understanding of actions performed by mechanical devices,,"Boyer, Ty W.; Pan, J. Samantha; Bertenthal, Bennett I.",Cognition,,,,10.1016/j.cognition.2011.05.012,,,,2011,
XIntAct - 58,"Brand, R. J., Escobar, K., Baranes, A., & Albu, A. (2015). Crawling Predicts Infants’ Understanding of Agents’ Navigation of Obstacles. Infancy, 20(4), 405–415. http://doi.org/10.1111/infa.12084 ",database_search,no,x,,,,,,,Crawling Predicts Infants' Understanding of Agents' Navigation of Obstacles,,"Brand, Rebecca J.; Escobar, Kelly; Baranes, Adrien; Albu, Amanda",Infancy,,,,10.1111/infa.12084,,,,2015,
XIntAct - 59,"Brandone, A. C., Horwitz, S. R., Aslin, R. N., & Wellman, H. M. (2014). Infants’ goal anticipation during failed and successful reaching actions. Developmental Science, 17(1), 23–34. http://doi.org/10.1111/desc.12095",database_search,yes,x,,,,,,,Infants' goal anticipation during failed and successful reaching actions,,"Brandone, Amanda C.; Horwitz, Suzanne R.; Aslin, Richard N.; Wellman, Henry M.",Developmental Science,,,,10.1111/desc.12095,,,,2014,
XIntAct - 60,"Brandone, A. C., Pence, K. L., Golinkoff, R. M., & Hirsh-Pasek, K. (2007). Action speaks louder than words: Young children differentially weight perceptual, social, and linguistic cues to learn verbs. Child Development, 78(4), 1322–1342. http://doi.org/10.1111/j.1467-8624.2007.01068.x",database_search,no,x,,,,,,,"Action speaks louder than words: Young children differentially weight perceptual, social, and linguistic cues to learn verbs",,"Brandone, Amanda C.; Pence, Khara L.; Golinkoff, Roberta Michnick; Hirsh-Pasek, Kathy",Child Development,,,,10.1111/j.1467-8624.2007.01068.x,,,,2007,
XIntAct - 61,"Brandone, A. C., & Wellman, H. M. (2009). You Can’t Always Get What You Want: Infants Understand Failed Goal-Directed Actions. Psychological Science, 20(1), 85–91. http://doi.org/10.1111/j.1467-9280.2008.02246.x",database_search,no,x,,,,,,,You Can't Always Get What You Want: Infants Understand Failed Goal-Directed Actions,,"Brandone, Amanda C.; Wellman, Henry M.",Psychological Science,,,,10.1111/j.1467-9280.2008.02246.x,,,,2009,
XIntAct - 62,"Brandone, A. C. (2015). Infants’ Social and Motor Experience and the Emerging Understanding of Intentional Actions. Developmental Psychology, 51(4), 512–523. http://doi.org/10.1037/a0038844",database_search,yes,x,,,,,,,Infants' Social and Motor Experience and the Emerging Understanding of Intentional Actions,,"Brandone, Amanda C.",Developmental Psychology,,,,10.1037/a0038844,,,,2015,
XIntAct - 63,"Brink, K. A., Lane, J. D., & Wellman, H. M. (2015). Developmental pathways for social understanding: linking social cognition to social contexts. Frontiers in Psychology, 6, 719. http://doi.org/10.3389/fpsyg.2015.00719",database_search,yes,x,,,,,,,Developmental pathways for social understanding: linking social cognition to social contexts,,"Brink, Kimberly A.; Lane, Jonathan D.; Wellman, Henry M.",Frontiers in Psychology,,,,10.3389/fpsyg.2015.00719,,,,2015,
XIntAct - 64,"Brownell, C. A., Ramani, G. B., & Zerwas, S. (2006). Becoming a social partner with peers: Cooperation and social understanding in one- and two-year-olds. Child Development, 77(4), 803–821. http://doi.org/10.1111/j.1467-8624.2006.00904.x",database_search,no,x,,,,,,,Becoming a social partner with peers: Cooperation and social understanding in one- and two-year-olds,,"Brownell, Celia A.; Ramani, Geetha B.; Zerwas, Stephanie",Child Development,,,,10.1111/j.1467-8624.2006.00904.x,,,,2006,
XIntAct - 65,"Bruschweiler-Stern, N., Lyons-Ruth, K., Morgan, A. C., Nahum, J. P., Sander, L. W., & Stern, D. N. (2007). The foundational level of psychodynamic meaning: Implicit process in relation to conflict, defense and the dynamic unconscious. International Journal of Psychoanalysis, 88, 843–860. http://doi.org/10.1516/ijpa.2007.843",database_search,yes,x,,,,,,,"The foundational level of psychodynamic meaning: Implicit process in relation to conflict, defense and the dynamic unconscious",,"Bruschweiler-Stern, Nadia; Lyons-Ruth, Karlen; Morgan, Alexander C.; Nahum, Jeremy P.; Sander, Louis W.; Stern, Daniel N.",International Journal of Psychoanalysis,,,,10.1516/ijpa.2007.843,,,,2007,
XIntAct - 66,"Buresh, J. S., & Woodward, A. L. (2007). Infants track action goals within and across agents. Cognition, 104(2), 287–314. http://doi.org/10.1016/j.cognition.2006.07.001",database_search,yes,x,,,,,,,Infants track action goals within and across agents,,"Buresh, Jennifer Sootsman; Woodward, Amanda L.",Cognition,,,,10.1016/j.cognition.2006.07.001,,,,2007,
XIntAct - 67,"Burkart, J., Kupferberg, A., Glasauer, S., & van Schaik, C. (2012). Even Simple Forms of Social Learning Rely on Intention Attribution in Marmoset Monkeys (Callithrix jacchus). Journal of Comparative Psychology, 126(2), 129–138. http://doi.org/10.1037/a0026025",database_search,no,x,,,,,,,Even Simple Forms of Social Learning Rely on Intention Attribution in Marmoset Monkeys (Callithrix jacchus),,"Burkart, Judith; Kupferberg, Aleksandra; Glasauer, Stefan; van Schaik, Carel",Journal of Comparative Psychology,,,,10.1037/a0026025,,,,2012,
